Twitter: https://twitter.com/splix, Nickname: @splix, count: 1
Twitter: https://twitter.com/sbozhko, Nickname: @sbozhko, count: 1
Twitter: https://twitter.com/ligolnik, Nickname: @ligolnik, count: 1
Twitter: https://twitter.com/leventov, Nickname: @leventov, count: 1
Twitter: https://twitter.com/shipilev, Nickname: @shipilev, count: 1
Twitter: https://twitter.com/bealex, Nickname: @bealex, count: 1
Twitter: https://twitter.com/JohnWings, Nickname: @johnwings, count: 1
Twitter: https://twitter.com/andrey_cheptsov, Nickname: @andrey_cheptsov , count: 1
Twitter: https://twitter.com/intelliyole, Nickname: @intelliyole, count: 1
Twitter: https://twitter.com/DanKalashnikov, Nickname: @DanKalashnikov, count: 1
Twitter: https://twitter.com/umputun, Nickname: @umputun, count: 2
Twitter: https://twitter.com/andrey_kogun, Nickname: @andrey_kogun, count: 2
Twitter: https://twitter.com/xpinjection, Nickname: @xpinjection, count: 2
Twitter: https://twitter.com/iNikem, Nickname: @iNikem, count: 2
Twitter: https://twitter.com/gigabel, Nickname: @gigabel, count: 3
Twitter: https://twitter.com/JavaOneRussia, Nickname: @JavaOneRussia, count: 3
Twitter: https://twitter.com/dzmitryc, Nickname: @dzmitryc, count: 3
Twitter: https://twitter.com/23derevo, Nickname: @23derevo, count: 3
Twitter: https://twitter.com/yfain, Nickname: @yfain, count: 4
Twitter: https://twitter.com/golodnyj, Nickname: @golodnyj, count: 5
Twitter: https://twitter.com/tolkv, Nickname: @tolkv, count: 6
Twitter: https://twitter.com/jbaruch, Nickname: @jbaruch, count: 14
Twitter: https://twitter.com/dzmitryc, Nickname: @dzmitryc , count: 18
Twitter: https://twitter.com/antonarhipov, Nickname: @antonarhipov, count: 42
Twitter: https://twitter.com/a_abashev, Nickname: @a_abashev, count: 78
Twitter: https://twitter.com/gamussa, Nickname: @gamussa, count: 79
Total users: 26
